Fecha_Ocurrencia,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,Día,Mes,Año,Mortalidad,Mortalidad_label
2024-12-01,KILOMETRO 23 VIA  CHICHIMENE VIA SAN CARLOS  DE GUAROA -,No registra,1,0,MUERTOS,1,CHOQUE,1,12,2024,True,Con mortalidad
2024-12-01,CARRERA  50 N-15A-17  -  SIN INFORMACIÃN DEL BARRIO,No registra,2,3,HERIDOS,0,CHOQUE,1,12,2024,False,Sin mortalidad
2024-12-05,DIAGONAL 15 CARRERA 42 - VILLA COLONIAL,No registra,2,3,HERIDOS,0,CHOQUE,5,12,2024,False,Sin mortalidad
2024-12-07,CALLE 14 N.33 -05  -,No registra,2,2,HERIDOS,0,CHOQUE,7,12,2024,False,Sin mortalidad
2024-12-05,KILOMETRO 0+500 MTS   - VEREDA EL PLAYON  EL CENTRO,No registra,1,0,MUERTOS,1,CHOQUE,5,12,2024,True,Con mortalidad
2024-12-09,CARRERA 31 CALLE 16C  -  BACHUE,BACHUE,2,2,HERIDOS,0,CHOQUE,9,12,2024,False,Sin mortalidad
2024-12-06,CARRERA 47 N: 18 -35       -  COLINAS,COLINAS,1,1,HERIDOS,0,ATROPELLO,6,12,2024,False,Sin mortalidad
2024-12-11,CALLE 16 CARRERA 6 -  POPULAR,POPULAR,2,3,HERIDOS,0,CHOQUE,11,12,2024,False,Sin mortalidad
2024-12-11,DIAGONAL 15 N. 29B-03  -,No registra,2,1,HERIDOS,0,CHOQUE,11,12,2024,False,Sin mortalidad
2024-12-14,CALLE 14 CARRERA 40-15 -  INDEPENDENCIA RANCHO GRANDE,INDEPENDENCIA,2,2,HERIDOS,0,CHOQUE,14,12,2024,False,Sin mortalidad
2024-12-16,KILOMETRO 4 VIA GRAVICOL  -,No registra,1,0,DAÃOS MATERIALES,0,CHOQUE,16,12,2024,False,Sin mortalidad
2024-12-14,CALLE 15 CARRERA 19 -  CENTRO,CENTRO,2,1,HERIDOS,0,CHOQUE,14,12,2024,False,Sin mortalidad
2024-12-14,CALLE 18 CARRERA 12 -  VILLA TERESA,VILLA TERESA,2,3,HERIDOS,0,CHOQUE,14,12,2024,False,Sin mortalidad
2024-12-18,CALLE 10A CARRERA  27 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,3,HERIDOS,0,CHOQUE,18,12,2024,False,Sin mortalidad
2024-12-18,CALLE 17 N.16 -03  -  SAN CRISTOBAL,SAN CRISTOBAL,2,1,HERIDOS,0,CHOQUE,18,12,2024,False,Sin mortalidad
2024-12-21,CALLE 15 N. 20 -04  -  COOPERATIVO,COOPERATIVO,2,1,HERIDOS,0,CHOQUE,21,12,2024,False,Sin mortalidad
2024-12-23,CARRERA 14 N.19 -87  -  SIN INFORMACIÃN DEL BARRIO,No registra,2,2,HERIDOS,0,CHOQUE,23,12,2024,False,Sin mortalidad
2024-12-22,KILOMETRO 47+260   - CODESOLA VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,3,3,MUERTOS,3,CHOQUE,22,12,2024,True,Con mortalidad
2023-01-01,CARRERA 14 CALL 6  VIA LA ESMERALDA  SIN INFORMACIÃN DEL BARRIO,No registra,1,1,HERIDOS,0,ATROPELLO,1,1,2023,False,Sin mortalidad
2022-01-01,AVENIDA 23 N: 28-19 -  VILLA LUCIA,VILLA LUCIA,2,2,HERIDOS,0,CHOQUE,1,1,2022,False,Sin mortalidad
2023-01-02,KILOMETRO 26+800 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,1,HERIDOS,0,CHOQUE,2,1,2023,False,Sin mortalidad
2023-01-08,CALLE 13 CARRERA 15 -  CENTRO,CENTRO,2,1,HERIDOS,0,CHOQUE,8,1,2023,False,Sin mortalidad
2023-01-10,CALLE 13 CARRERA 21 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,10,1,2023,False,Sin mortalidad
2023-01-01,CALLE 16A N 27-33 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,1,1,2023,False,Sin mortalidad
2023-01-15,DIAGONAL 6 N 29A-97  BARRIO PANORAMA,No registra,1,2,HERIDOS,0,CHOQUE,15,1,2023,False,Sin mortalidad
2023-01-19,AVENIDA 23 CARRERA  30 -  LA ORQUIDEA REAL,LA ORQUIDEA REAL,2,1,HERIDOS,0,CHOQUE,19,1,2023,False,Sin mortalidad
2023-01-20,CARRERA 31 # 16F -80  -  BACHUE,BACHUE,2,1,HERIDOS,0,CHOQUE,20,1,2023,False,Sin mortalidad
2023-01-20,CARRERA 23 N 12-20 -  DORADO,DORADO,1,1,HERIDOS,0,ATROPELLO,20,1,2023,False,Sin mortalidad
2023-01-28,CALLE 14 N 24-20 -  SAN JOSÃ,SAN JOSÃ,2,3,HERIDOS,0,CHOQUE,28,1,2023,False,Sin mortalidad
2023-01-14,KILOMETRO 45+500 MTS   SECTOR VAQUEROS   VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,1,HERIDOS,0,CHOQUE,14,1,2023,False,Sin mortalidad
2023-01-24,KILOMETRO 56+500 MTS   SECTOR GUAYURIBA  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,1,2,HERIDOS,0,ATROPELLO,24,1,2023,False,Sin mortalidad
2023-01-27,KILOMETRO 45+700 MTS   SECTOR CHICHIMENE  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,1,MUERTOS,1,CHOQUE,27,1,2023,True,Con mortalidad
2023-02-01,CARRERA 36 CALLE 12A-152 -  INDEPENDENCIA,INDEPENDENCIA,2,2,HERIDOS,0,CHOQUE,1,2,2023,False,Sin mortalidad
2023-02-02,CARRERA 47 CALLE 16 INTERS -  COLINAS,COLINAS,2,1,HERIDOS,0,CHOQUE,2,2,2023,False,Sin mortalidad
2023-02-05,CALLE 12 CARRERA  38 -  INDEPENDENCIA,INDEPENDENCIA,2,1,HERIDOS,0,CHOQUE,5,2,2023,False,Sin mortalidad
